author,n_seed_dois_cited,n_citing_works,seed_dois
Katherine A. DeCelles,1,1,10.2139/ssrn.4154000
Katherine Adams Shannon,1,1,10.2139/ssrn.4154000
Katherine Calhoun,1,1,10.3386/w28106
Katherine E. Venturo‐Conerly,1,1,10.3386/w28106
Katherine L. Marshall,1,1,10.3386/w30835
Katherine Lacasse,1,1,10.3386/w32450
Katherine Meckel,1,1,10.3386/w30011
Katherine Richard,1,1,10.2139/ssrn.4154000
Katherine Rittenhouse,1,1,10.3386/w30011
Kathrin Grosse,1,1,10.48550/arxiv.2305.07153
Kathrin Wolf,1,1,10.1257/pandp.20201017
Katrine Sonne‐Hansen,1,1,10.3386/w26752
Katy Bergstrom,1,1,10.3386/w28726
Kazunobu Muro,1,1,10.3386/w23928
Ke He,1,1,10.1257/aer.20221215
Ke-Liang Wang,1,1,10.3386/w23928
Keita Fukasawa,1,1,10.1111/conl.13077
Kelly Holland,1,1,10.3386/w28726
Kelly Kaila,1,1,10.3386/w28106
Kelly M. Doran,1,1,10.2139/ssrn.4154000
Kenichiro Onitsuka,1,1,10.3386/w23929
Kenneth Gillingham,1,1,10.3386/w31137
Kenneth L. Davis,1,1,10.3386/w23928
Keri M. Guilbault,1,1,10.3386/w26752
Kerong Zhang,1,1,10.3386/w23928
Kerstin Hötte,1,1,10.3386/w23928
Ketki Sheth,1,1,10.3386/w30835
Kevin Carney,1,1,10.3386/w28726
Kevin Donovan,1,1,10.3386/w23929
Kevin Hosford,1,1,10.3386/w26752
Kevin R. James,1,1,10.3386/w26752
Kevin Rassool,1,1,10.1016/j.ijdrr.2022.102798
Kevin Wei,1,1,10.48550/arxiv.2305.07153
Kexu Wu,1,1,10.3386/w23928
Keyi Tang,1,1,10.1257/aer.20221215
Khagendra Subba,1,1,10.3386/w31208
Khalid Fardousse,1,1,10.3386/w23928
Khatuna Akhalaia,1,1,10.1093/wbro/lkae010
Khine Kyaw,1,1,10.3386/w31137
Kibrom A. Abay,1,1,10.3386/w28726
Kimberly Berg,1,1,10.3386/w32450
Kiparissenia Samara,1,1,10.3386/w31899
Kirsten M. McMillan,1,1,10.1111/conl.13077
Kirun Sankaran,1,1,10.1257/pandp.20201017
Klaus Kümmerer,1,1,10.21203/rs.3.rs-3235955/v1
Koen Maaskant,1,1,10.3386/w23929
Koen Schoors,1,1,10.3386/w33018
Konstantin Büchel,1,1,10.3386/w31208
Kosuke Inoue,1,1,10.3386/w28726
Kota Mameno,1,1,10.1111/conl.13077
Kotamarti Sushanth,1,1,10.3386/w23928
Kreshnik Vukatana,1,1,10.3386/w23928
Krishna Kumar Yadav,1,1,10.3386/w30835
Kristin Kiesel,1,1,10.3386/w30740
Kristina Matuzevičiūtė,1,1,10.3386/w23928
Kristina Suchotzki,1,1,10.3386/w30011
Kultar Singh,1,1,10.3386/w28726
Kumari Smita,1,1,10.3386/w30011
Kun Yang,1,1,10.3386/w23928
Kyle J. Moon,1,1,10.2139/ssrn.4154000
Kyunam Kim,1,1,10.3386/w23928
L. Guillermo Woo-Mora,1,1,10.1093/ej/uead102
Lalitha Sundaram,1,1,10.1016/j.ijdrr.2022.102798
Lamiaa Fiala,1,1,10.3386/w32093
Langtian Ma,1,1,10.48550/arxiv.2107.06476
Lara Bartels,1,1,10.3386/w30740
Larissa Lushniak,1,1,10.3386/w28726
Laura Boudreau,1,1,10.3386/w23929
Laura Cook,1,1,10.1016/j.ijdrr.2022.102798
Laura Levaggi,1,1,10.3386/w31272
Laura Schechter,1,1,10.3386/w28726
Laura Stilwell,1,1,10.2139/ssrn.4154000
Laura Veldkamp,1,1,10.3386/w23928
Laurel Krovetz,1,1,10.1257/aeri.20210612
Lauren Coad,1,1,10.1111/conl.13077
Lauren Meyer,1,1,10.2139/ssrn.4154000
Laurence J. Kotlikoff,1,1,10.3386/w23928
Lawrence O. Gostin,1,1,10.3386/w26775
Lea Samek,1,1,10.3386/w23928
Leah R. Rosenzweig,1,1,10.3386/w28726
Leandra Scharnhorst,1,1,10.3386/w32450
Lee Crawfurd,1,1,10.3386/w30835
Lee Sharkey,1,1,10.48550/arxiv.2305.07153
Lefteris Andreadis,1,1,10.3386/w23928
Lei Lei,1,1,10.1257/aer.20221215
Lei Liu,1,1,10.3386/w30011
Lei Shi,1,1,10.1257/aer.20221215
Leland E. Farmer,1,1,10.1257/pandp.20201017
Lelys Dinarte-Diaz,1,1,10.3386/w28106
Lena Frischlich,1,1,10.3386/w30011
Leonard E. Egede,1,1,10.2139/ssrn.4154000
Leonardo M. Giuffrida,1,1,10.1257/pandp.20201017
Leonhard Vollmer,1,1,10.1093/ej/uead102
Leonie Koessler,1,1,10.48550/arxiv.2305.07153
Li Lin,1,1,10.1257/aer.20221215
Li Sun,1,1,10.1257/aer.20221215
Lianchao Yu,1,1,10.1257/aer.20221215
Liang Liu,1,1,10.3386/w23928
Liangke Liu,1,1,10.1257/aer.20221215
Liangyu Jiang,1,1,10.3386/w23928
Lichen Qiao,1,1,10.3386/w23928
Lienda Bashier Eltayeb,1,1,10.3386/w30835
Lifan Shi,1,1,10.3386/w23928
Lili Wang,1,1,10.3386/w23928
Lili Xia,1,1,10.1016/j.ijdrr.2022.102798
Lili Yan,1,1,10.1257/aer.20221215
Lilla Bánkuty-Balogh,1,1,10.3386/w23928
Lilla Sarolta Bánkuty-Balogh,1,1,10.3386/w23928
Limei Yang,1,1,10.1257/aer.20221215
Lin Ding,1,1,10.3386/w23928
Lin Feng,1,1,10.3386/w23929
Lin Guo,1,1,10.3386/w23928
Lin Li,1,1,10.1257/aer.20221215
Lin Yang,1,1,10.3386/w31554
Lina Garšvienė,1,1,10.3386/w23928
Lina Torossian,1,1,10.3386/w31208
Linda Ponta,1,1,10.3386/w23928
Ling Dai,1,1,10.1257/aer.20221215
Lingqian Kong,1,1,10.1257/aer.20221215
Lingxiao Yang,1,1,10.3386/w23928
Lingyun Chen,1,1,10.1257/aer.20221215
Ling‐Yun He,1,1,10.3386/w23928
Linh Tu Ho,1,1,10.3386/w23928
Linh Vu,1,1,10.2139/ssrn.3938994
Linjie Feng,1,1,10.1257/aer.20221215
Lint Barrage,1,1,10.1257/aeri.20230431
Lior Horesh,1,1,10.3386/w26752
Lirui Jiao,1,1,10.3386/w31137
Lisa Ho,1,1,10.3386/w28726
Lisa Rogge,1,1,10.3386/w28726
Lisa Sheenan,1,1,10.3386/w31137
Lise G. Bjerregaard,1,1,10.3386/w31162
Lisen Arnheim‐Dahlström,1,1,10.3386/w28726
Lixin Zhang,1,1,10.3386/w23928
Liya Miao,1,1,10.3386/w23928
Liz Ota,1,1,10.21203/rs.3.rs-3235955/v1
Long Niu,1,1,10.1257/aer.20221215
Longpeng Zhang,1,1,10.3386/w23928
Longzheng Du,1,1,10.3386/w23928
Lorenzo Rodrigo Aldeco Leo,1,1,10.1257/aeri.20230431
Louis J. Gross,1,1,10.3386/w32450
Louis Tay,1,1,10.2139/ssrn.4154000
Louis-Maël Jean,1,1,10.3386/w28726
Lourens Poorter,1,1,10.21203/rs.3.rs-3235955/v1
Luca Braghieri,1,1,10.1257/aeri.20210612
Luca Farè,1,1,10.3386/w23928
Luca Henkel,1,1,10.3386/w32073
Luca Stella,1,1,10.3386/w23928
Lucas Hertzog,1,1,10.3386/w28106
Lucas Siga,1,1,10.3386/w31663
Lucia A. Reisch,1,1,10.3386/w30740
Lucie Cluver,1,1,10.3386/w28106
Lucie Gadenne,1,1,10.3386/w32093
Lucius Bushnaq,1,1,10.48550/arxiv.2305.07153
Lucius Caviola,1,1,10.1016/j.cognition.2021.104941
Lucy Amissah,1,1,10.21203/rs.3.rs-3235955/v1
Lucy Ogbu-Nwobodo,1,1,10.3386/w28726
Luis Hernando Romero Jiménez,1,1,10.21203/rs.3.rs-3235955/v1
Luisa Feline Freier,1,1,10.2139/ssrn.4154000
Lukas Bieringer,1,1,10.48550/arxiv.2305.07153
Lukas Bolte,1,1,10.3386/w30011
Lukas Brandl-Cheng,1,1,10.3386/w23928
Lukas Lehner,1,1,10.2139/ssrn.4154000
Lukas Zimmermann,1,1,10.3386/w31137
Luke Munford,1,1,10.3386/w30011
Luke R. Aldridge,1,1,10.3386/w30011
Luping Yu,1,1,10.3386/w31137
Lutz Bornmann,1,1,10.3386/w26752
M Stratinaki,1,1,10.2139/ssrn.4154000
M. Granger Morgan,1,1,10.1257/pandp.20201017
M. J. Guo,1,1,10.3386/w23928
M. L. Rivers,1,1,10.1016/j.ijdrr.2022.102798
M. Link,1,1,10.3386/w23928
M. S. Rahman,1,1,10.3386/w23928
M. Taha Kasim,1,1,10.1093/ej/uead102
M. Xu,1,1,10.1257/aer.20221215
M.A.G. von Keyserlingk,1,1,10.1080/21606544.2022.2138980
M.K.G. Abbas,1,1,10.3386/w30835
Mabel Machado López,1,1,10.3386/w23928
Maciej Jakubowski,1,1,10.3386/w31208
Maciej Turała,1,1,10.3386/w23928
Mackenzie Arnold,1,1,10.48550/arxiv.2305.07153
Madeline Werthschulte,1,1,10.3386/w30740
Madelon Lohbeck,1,1,10.21203/rs.3.rs-3235955/v1
Magdalena Wache,1,1,10.1016/j.ijdrr.2022.102798
Magdolna Sass,1,1,10.3386/w23928
Maha Awjan Alreshidi,1,1,10.3386/w30835
Maha Kalai,1,1,10.3386/w23928
Mahamane L. Manzo,1,1,10.3386/w28726
Mahbubur Rahman,1,1,10.1093/wbro/lkae010
Maheshwor Shrestha,1,1,10.3386/w28726
Mahmuda Mahmuda,1,1,10.3386/w28106
Mai Dong Tran,1,1,10.3386/w26752
Maja E. Marcus,1,1,10.3386/w28726
Maks Khomenko,1,1,10.3386/w26775
Malka N. Halgamuge,1,1,10.48550/arxiv.2305.07153
Mallikarjun Shankar,1,1,10.3386/w26752
Manas Kumar Yogi,1,1,10.3386/w31208
Manaswini Rao,1,1,10.3386/w28726
Manfred Sneps-Sneppe,1,1,10.48550/arxiv.2305.07153
Mangadevi Atti,1,1,10.3386/w31208
Manolis Chatzikonstantinou,1,1,10.3386/w23928
Maobin Wang,1,1,10.1257/aer.20221215
Maoliang Ye,1,1,10.3386/w28726
Maram Ahmed,1,1,10.1257/pandp.20201017
Marc Auboin,1,1,10.1257/pandp.20201017
Marc Edwards,1,1,10.3386/w26752
Marc Scheufen,1,1,10.3386/w23928
Marc T. Kiviniemi,1,1,10.2139/ssrn.3938994
Marcel Knöchelmann,1,1,10.3386/w26752
Marcel Llavero‐Pasquina,1,1,10.3386/w32450
Marcello Nieddu,1,1,10.3386/w23928
Marcelo Villa‐Piñeros,1,1,10.21203/rs.3.rs-3235955/v1
Marco Iansiti,1,1,10.3386/w23928
Marco Raberto,1,1,10.3386/w23928
Marco Savorgnan,1,1,10.3386/w23928
Marcus Maurer,1,1,10.1093/ej/uead102
Margaret Hamburg,1,1,10.3386/w26775
Margaret Skutsch,1,1,10.3386/w31137
Margarita Leib,1,1,10.2139/ssrn.3938994
Margot Neyret,1,1,10.3386/w31554
Marguerita Lane,1,1,10.3386/w23928
Maria Julia de Lima Brossi,1,1,10.1016/j.ijdrr.2022.102798
Maria Loreto Biehl,1,1,10.3386/w31208
Maria von Salisch,1,1,10.21203/rs.3.rs-3235955/v1
Marian Stamp Dawkins,1,1,10.1080/21606544.2022.2138980
Marie Kammer,1,1,10.3386/w31354
Marina M.S. Cabral-Pinto,1,1,10.3386/w30835
Marina Schmoeller,1,1,10.21203/rs.3.rs-3235955/v1
Marine Casalis,1,1,10.1257/aeri.20210612
Mario Benassi,1,1,10.3386/w23928
Mario Macis,1,1,10.3386/w28726
Mario Schmidt,1,1,10.3386/w28106
Marius Hobbhahn,1,1,10.48550/arxiv.2305.07153
Marjorie Jauregui,1,1,10.1016/j.ijdrr.2022.102798
Mark A. Chen,1,1,10.3386/w23928
Mark Andor,1,1,10.3386/w32728
Mark Budolfson,1,1,10.1080/21606544.2022.2138980
Mark Buntaine,1,1,10.1257/aer.20221215
Mark Engelbert,1,1,10.1257/pandp.20201017
Mark Rider,1,1,10.1093/ej/uead102
Mark Shepard,1,1,10.3386/w30740
Markus Anderljung,1,1,10.48550/arxiv.2305.07153
Markus Baer,1,1,10.3386/w26752
Markus Goldstein,1,1,10.3386/w28106
Marshall Burke,1,1,10.3386/w32450
Marta Götz,1,1,10.3386/w23928
Martin Bækgaard,1,1,10.2139/ssrn.4154000
Martin Förster,1,1,10.3386/w31272
Martin Hedlund,1,1,10.3386/w26752
Martin J. Field,1,1,10.3386/w28106
Martin Obschonka,1,1,10.3386/w23928
Martin Schindler,1,1,10.3386/w23928
Martina Bisello,1,1,10.3386/w23928
Martina Kirchberger,1,1,10.3386/w23929
Marvin Gleue,1,1,10.2139/ssrn.3938994
Mary Merva,1,1,10.3386/w23928
Maryanne Schretzman,1,1,10.2139/ssrn.4154000
María Eugenia Sanin,1,1,10.3386/w31137
María José Escartí Fabra,1,1,10.3386/w23928
María Mendoza Michilot,1,1,10.3386/w23928
María Montoya-Aguirre,1,1,10.1093/ej/uead102
María T. Soto-Sanfiel,1,1,10.3386/w23928
María de la Iglesia-Vayá,1,1,10.3386/w23928
Masamine Jimba,1,1,10.3386/w28726
Massimiliano Caporin,1,1,10.3386/w31137
Mateusz Smoter,1,1,10.1093/ej/uead102
Mathieu Decuyper,1,1,10.21203/rs.3.rs-3235955/v1
Mathieu Guigourez,1,1,10.3386/w32073
Mathilde Pak,1,1,10.3386/w23928
Matilde Bombardini,1,1,10.3386/w32728
Matilde Giaccherini,1,1,10.3386/w30740
Matt Boyd,1,1,10.1016/j.ijdrr.2022.102798
Matt Goldman,1,1,10.3386/w28726
Matt Sutton,1,1,10.3386/w30011
Matt Taddy,1,1,10.3386/w28726
Matteo Crosignani,1,1,10.3386/w31137
Matthew A. Turner,1,1,10.1257/aeri.20230431
Matthew Bird,1,1,10.2139/ssrn.4154000
Matthew Freedman,1,1,10.2139/ssrn.4154000
Matthew Gustafson,1,1,10.3386/w31137
Matthew Mitchell,1,1,10.1093/ej/uead102
Matthew Ridley,1,1,10.3386/w28106
Matí­as Busso,1,1,10.3386/w30624
Maurizio Bussolo,1,1,10.3386/w28726
Maurizio Zanardi,1,1,10.1093/ej/uead102
Mauro Mazzocut,1,1,10.3386/w26752
Max Alexander Matthey,1,1,10.1257/pandp.20201017
Max Berg,1,1,10.3386/w30011
Max Kleinebrahm,1,1,10.3386/w32450
Maximilian Lackner,1,1,10.1016/j.ijdrr.2022.102798
Maximilian Maier,1,1,10.1016/j.cognition.2021.104941
Maximilian Maydanchik,1,1,10.3386/w32728
Maximilian Mihm,1,1,10.3386/w31663
Maya B Mathur,1,1,10.2139/ssrn.3938994
Md Noman Hossain,1,1,10.3386/w31137
Md Rajib Kamal,1,1,10.3386/w31137
Md. Ahasan Habib,1,1,10.3386/w30835
Md. Mir Abu Raihan,1,1,10.3386/w30835
Meagan Pilar,1,1,10.3386/w28726
Meaghan Stacy,1,1,10.3386/w28106
Meera Mahadevan,1,1,10.1257/aeri.20230431
Megan Lang,1,1,10.3386/w28106
Mehdi Raissi,1,1,10.3386/w32450
Mehmet Akif Destek,1,1,10.3386/w23928
Mehran Ullah,1,1,10.48550/arxiv.2305.07153
Mei-e Xie,1,1,10.3386/w23928
Meilin Jin,1,1,10.1257/aer.20221215
Melanie I. Stefan,1,1,10.3386/w26752
Melina Moleskis,1,1,10.2139/ssrn.4154000
Melissa Graboyes,1,1,10.3386/w28726
Meltem Ikinci,1,1,10.2139/ssrn.4154000
Meng Du,1,1,10.3386/w23928
Mengmeng Xie,1,1,10.3386/w23928
Mengting Chen,1,1,10.3386/w32728
Mengxia Yang,1,1,10.3386/w31899
Mengxu Li,1,1,10.1257/aer.20221215
Merter Mert,1,1,10.3386/w23928
Miaomiao Liu,1,1,10.1257/aer.20221215
Michael Aird,1,1,10.48550/arxiv.2305.07153
Michael B. Fisher,1,1,10.1093/wbro/lkae010
Michael Cuna,1,1,10.3386/w32093
Michael Gofman,1,1,10.3386/w23928
Michael Greene,1,1,10.2139/ssrn.4154000
Michael Kubach,1,1,10.3386/w23928
Michael Mies,1,1,10.3386/w31137
Michael Park,1,1,10.3386/w26752
Michael R. Carter,1,1,10.1257/aeri.20210612
Michael Ricks,1,1,10.3386/w32728
Michael Rochlitz,1,1,10.3386/w33018
Michael Siegrist,1,1,10.2139/ssrn.3938994
Michael Urselmann,1,1,10.1287/mnsc.2020.00596
Michael Zaehringer,1,1,10.3386/w32450
Michal Bauer,1,1,10.3386/w28726
Michal Usowicz,1,1,10.3386/w30835
Micheal Ainomugisha,1,1,10.3386/w31208
Michele Veldsman,1,1,10.3386/w26752
Michelle Cherian,1,1,10.3386/w30835
Michelle G. Craske,1,1,10.3386/w30011
Michelle Lee,1,1,10.3386/w31554
Miguel Clavero,1,1,10.1111/conl.13077
Miguel I. Gómez,1,1,10.1257/pandp.20201017
Miguel Martínez‐Ramos,1,1,10.21203/rs.3.rs-3235955/v1
Miguel Székely,1,1,10.1257/pandp.20201017
Mihaï Tivadar,1,1,10.3386/w31554
Mika Kunieda,1,1,10.3386/w28726
Mikel Berdud,1,1,10.1257/pandp.20201017
Mikita Balesni,1,1,10.48550/arxiv.2305.07153
Milena Bainduri,1,1,10.1093/wbro/lkae010
Milojko Arsić,1,1,10.3386/w23928
Milton Calderón,1,1,10.3386/w31208
Min Hu,1,1,10.3386/w30011
Min Sok Lee,1,1,10.3386/w23929
Min Song,1,1,10.1257/aer.20221215
Min Zheng,1,1,10.3386/w23928
Minchun Han,1,1,10.3386/w23928
Ming Chen,1,1,10.1257/aer.20221215
Ming Li,1,1,10.3386/w23929
Ming Zhang,1,1,10.1257/aer.20221215
Mingchuan Yu,1,1,10.3386/w23928
Mingming Jiang,1,1,10.1257/aer.20221215
Mingxiao Dai,1,1,10.1257/aer.20221215
Minhao Chen,1,1,10.1257/aer.20221215
Mireia Jofre‐Bonet,1,1,10.1257/pandp.20201017
Miriam Gade,1,1,10.3386/w30011
Miriam Marra,1,1,10.3386/w31137
Miriam Sequeira,1,1,10.1257/aeri.20210612
Miriam Wüst,1,1,10.3386/w31162
Mitchell Hoffman,1,1,10.3386/w23928
Mohamed Ali Trabelsi,1,1,10.3386/w23928
Mohamed Wahbi,1,1,10.3386/w23928
Mohammad Abdul Awal Miah,1,1,10.3386/w28106
Mohammad Ali Al-Afeef,1,1,10.3386/w28106
Mohammad M. Herzallah,1,1,10.3386/w30011
Mohammed Akallouch,1,1,10.3386/w23928
Mohammed Ben Ahmed,1,1,10.3386/w23928
Mohammed Mohsin,1,1,10.3386/w28106
Mohit Sood,1,1,10.3386/w30011
Moitshepi Matsheng,1,1,10.3386/w31208
Molly Frazer,1,1,10.1257/pandp.20201017
Monica Singhal,1,1,10.3386/w32093
Monika K. Rabarison,1,1,10.3386/w31137
Mosa Moshabela,1,1,10.3386/w28726
Moshe Tennenholtz,1,1,10.3386/w23928
Mouhcine Guettabi,1,1,10.2139/ssrn.4154000
Muhammad Awais Akbar,1,1,10.48550/arxiv.2305.07153
Muhammad Omar,1,1,10.3386/w23928
Muhammad Ramzan Kalhoro,1,1,10.3386/w31137
Muhammad Waleed Younas,1,1,10.3386/w23928
Muhammad Waqas Khan,1,1,10.3386/w23928
Musharraf Cyan,1,1,10.1093/ej/uead102
Myles Wagner,1,1,10.3386/w30740
Mylène Lagarde,1,1,10.3386/w28726
Nagendra P. Luitel,1,1,10.3386/w30011
Najmedin Meshkati,1,1,10.3386/w32450
Namdeo Dongare,1,1,10.3386/w30011
Nanxu Chen,1,1,10.3386/w23928
Naoki Kondo,1,1,10.3386/w28726
Nargess Golshan,1,1,10.3386/w31137
Natalia G. Vovchenko,1,1,10.3386/w23928
Natalia Rigol,1,1,10.3386/w31162
Natalya Martynova,1,1,10.3386/w31137
Natasha C. Allard,1,1,10.2139/ssrn.3938994
Natcha Connot,1,1,10.3386/w28106
Nathaniel Gundersen,1,1,10.3386/w32450
Nathaniel Jensen,1,1,10.1257/aeri.20210612
Naureen Karachiwalla,1,1,10.3386/w28106
Naveed Abbas,1,1,10.3386/w23928
Nayantara Sarma,1,1,10.3386/w28726
Neale Mahoney,1,1,10.2139/ssrn.4154000
Neil George Cherian,1,1,10.1257/pandp.20201017
Neil Stewart,1,1,10.3386/w30740
Nele Jensen,1,1,10.3386/w26775
Nelson C. Mark,1,1,10.3386/w32450
Nestor Gregorio,1,1,10.21203/rs.3.rs-3235955/v1
Newsha Ardalani,1,1,10.3386/w23928
Nguyễn Đức Trung,1,1,10.3386/w23928
Niall MacKenzie,1,1,10.3386/w23928
Nichola J. Davis,1,1,10.2139/ssrn.4154000
Nicholas Apergis,1,1,10.3386/w31137
Nicholas Calbraith Owsley,1,1,10.3386/w28106
Nicholas Miller,1,1,10.1093/wbro/lkae010
Nick Tsivanidis,1,1,10.3386/w23929
Nico Wunderling,1,1,10.1016/j.ijdrr.2022.102798
Nico Zengeler,1,1,10.3386/w23928
Nicola Ranger,1,1,10.3386/w31137
Nicolas Longuet Marx,1,1,10.3386/w32728
Nicole Darmon,1,1,10.3386/w30740
Nicolette J. Sullivan,1,1,10.2139/ssrn.3938994
Niels Strange,1,1,10.3386/w31137
Nikolas Bernaola,1,1,10.3386/w23928
Nils Grashof,1,1,10.3386/w23928
Nina Ashley O. Dela Cruz,1,1,10.3386/w23929
Nina de la Cruz,1,1,10.3386/w23929
Ning An,1,1,10.3386/w30011
Ning Jia,1,1,10.3386/w28726
Ning Neil Yu,1,1,10.3386/w28726
Ning Zhang,1,1,10.1257/aer.20221215
Niroshan Siva,1,1,10.1016/j.ijdrr.2022.102798
Nisha Nadesan-Reddy,1,1,10.3386/w28726
Nityasri Sankha Narasimhamurti,1,1,10.3386/w30011
Noah Spencer,1,1,10.3386/w31208
Noam Yuchtman,1,1,10.3386/w33018
Noelle Greenwood,1,1,10.1257/pandp.20201017
Noemi Dreksler,1,1,10.48550/arxiv.2305.07153
Nolan E. Ramer,1,1,10.2139/ssrn.3938994
Noori Park,1,1,10.3386/w23928
Nozha Erragcha,1,1,10.3386/w23928
Noémi Berlin,1,1,10.3386/w30740
Nripendra P. Rana,1,1,10.3386/w23928
Nul Loren Oh,1,1,10.1257/aeri.20210612
Nuno Crato,1,1,10.3386/w31208
O.I. LAIKO,1,1,10.1257/aeri.20210612
OECD,1,1,10.3386/w26775
Ohid Yaqub,1,1,10.3386/w31409
Ola Kheir,1,1,10.3386/w31208
Olakunle Alonge,1,1,10.3386/w28726
Olayinka Aremu,1,1,10.3386/w31354
Oleg Tolstoguzov,1,1,10.3386/w32450
Olga Andreeva,1,1,10.3386/w23928
Olga Chiappinelli,1,1,10.1257/pandp.20201017
Olga Namen,1,1,10.3386/w31208
Oliver G. Spalt,1,1,10.3386/w32073
Oliver Hauser,1,1,10.2139/ssrn.4154000
Oliver Quiring,1,1,10.1093/ej/uead102
Olivia Keiser,1,1,10.3386/w28106
Olivia Zhao,1,1,10.1257/pandp.20201017
Olivier Wang,1,1,10.3386/w31137
Oluwafemi Folarin,1,1,10.3386/w23928
Oluwakemi Christiana Abikoye,1,1,10.3386/w23928
Omar Al‐Ubaydli,1,1,10.3386/w23929
Omini B. Iferi,1,1,10.1111/conl.13077
Orestis Troumpounis,1,1,10.1093/ej/uead102
Orlando Gomes,1,1,10.3386/w23928
Oscar M Díaz-Botía,1,1,10.3386/w31162
Osea Giuntella,1,1,10.3386/w23928
Owen Kay,1,1,10.3386/w32728
Owen O’Donnell,1,1,10.2139/ssrn.4154000
Oğuzhan Çepni,1,1,10.3386/w31137
P L Wang,1,1,10.3386/w26752
P. L. Ghosh,1,1,10.3386/w23928
P. Turner,1,1,10.2139/ssrn.4154000
P.-Z. Li,1,1,10.3386/w31137
Pablo Barredo,1,1,10.3386/w26752
Pablo Zoido,1,1,10.3386/w31208
Pantelis Koutroumpis,1,1,10.3386/w23928
Pantelis Solomou,1,1,10.2139/ssrn.4154000
Paola Isaacs‐Cubides,1,1,10.21203/rs.3.rs-3235955/v1
Paolo Bocchini,1,1,10.3386/w32450
Paolo Pertile,1,1,10.3386/w31272
Paolo Santori,1,1,10.3386/w32073
Paravee Maneejuk,1,1,10.3386/w23928
Patricia Ruffing-Straube,1,1,10.3386/w31137
Patrick Agte,1,1,10.3386/w31162
Patrick Bolton,1,1,10.3386/w32450
Patrick Bond,1,1,10.3386/w32450
Patrick Chanda,1,1,10.3386/w28106
Patrick Gaulé,1,1,10.1257/pandp.20201017
Patrick Illien,1,1,10.3386/w31354
Patrick Levermore,1,1,10.48550/arxiv.2305.07153
Patrick Prémand,1,1,10.3386/w28106
Patrick R. Heck,1,1,10.2139/ssrn.4154000
Patrick S. Forscher,1,1,10.3386/w28106
Patrick Turner,1,1,10.2139/ssrn.4154000
Patrick W. Heck,1,1,10.2139/ssrn.4154000
Paul Clements,1,1,10.3386/w32450
Paul E. Carrillo,1,1,10.3386/w30624
Paul Goldsmith-Pinkham,1,1,10.3386/w28726
Paul Lohmann,1,1,10.3386/w30740
Paul Seabright,1,1,10.3386/w31663
Paul Watters,1,1,10.48550/arxiv.2305.07153
Pauline Castaing,1,1,10.3386/w30835
Pavan Kumar,1,1,10.3386/w32450
Pedro A. Oliboni,1,1,10.1016/j.ijdrr.2022.102798
Pedro C. Vicente,1,1,10.3386/w28726
Pedro H. S. Brancalion,1,1,10.21203/rs.3.rs-3235955/v1
Pedro Pereira,1,1,10.3386/w31354
Pei Li,1,1,10.1257/aer.20221215
Pei Xu,1,1,10.1257/aer.20221215
Peibiao Liu,1,1,10.1257/aer.20221215
Peng Lü,1,1,10.1257/aer.20221215
Peng Zhang,1,1,10.1257/aer.20221215
Pengfei Lei,1,1,10.1257/aer.20221215
Penghu Zhu,1,1,10.1257/aer.20221215
Per Andersson,1,1,10.2139/ssrn.3938994
Periklis Terlixidis,1,1,10.3386/w23928
Peter A. Raymond,1,1,10.3386/w26775
Peter Bergman,1,1,10.3386/w31208
Peter Cramton,1,1,10.1257/pandp.20201017
Peter Eibich,1,1,10.1257/aeri.20210612
Peter H. Howard,1,1,10.3386/w32450
Peter Hangoma,1,1,10.3386/w28726
Peter Iliev,1,1,10.3386/w31137
Peter J. Winch,1,1,10.1093/wbro/lkae010
Peter John,1,1,10.3386/w30740
Peter Kyveryga,1,1,10.3386/w26752
Peter Svensson,1,1,10.3386/w26752
Peter Van Der Windt,1,1,10.3386/w28106
Peter Ventevogel,1,1,10.3386/w28106
Peter Warren,1,1,10.1257/pandp.20201017
Peter Werner,1,1,10.2139/ssrn.3938994
Peterson K Ozili,1,1,10.3386/w23928
Peter‐Jan Engelen,1,1,10.1257/pandp.20201017
Petre Caraiani,1,1,10.3386/w31137
Philip G. Pardey,1,1,10.1257/pandp.20201017
Philip H. S. Torr,1,1,10.48550/arxiv.2305.07153
Philip J. Landrigan,1,1,10.1093/wbro/lkae010
Philip Jefferies,1,1,10.1257/aeri.20210612
Philip Oreopoulos,1,1,10.3386/w31208
Philipp Koralus,1,1,10.3386/w30740
Philipp Scharner,1,1,10.3386/w31137
Philipp Schoenegger,1,1,10.1016/j.cognition.2021.104941
Philippe Aghion,1,1,10.3386/w23928
Phillip Cassey,1,1,10.1111/conl.13077
Phuoc Tran,1,1,10.3386/w23928
Pierre Azoulay,1,1,10.3386/w31409
Pierre-Luc Vautrey,1,1,10.3386/w28726
Pierre‐Alain Pionnier,1,1,10.3386/w23928
Pieter Abbeel,1,1,10.48550/arxiv.2305.07153
Pieter Hooimeijer,1,1,10.1257/aer.20221215
Pietro Bonetti,1,1,10.1257/aer.20221215
Pijus Krūminas,1,1,10.3386/w31899
Ping Chen,1,1,10.3386/w23928
Ping Qin,1,1,10.3386/w32728
Pinghan Liang,1,1,10.1257/aer.20221215
Pingping Ma,1,1,10.1257/aer.20221215
Pingyi Lou,1,1,10.3386/w31137
